port_id,canonical_port_name,source_port_name,source_name_variants,un_locode,latitude,longitude,country,liquid_bulk_facility,oil_terminal_facility,source_dataset,mapping_status,mapping_method,source_record_key,world_port_index_number,source_unlocode_status
port-b5f86f0e981c94ada425,Magdalla,Magdalla,Magdalla,IN MDA,21.15,72.75,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0027,48770.0,UNIQUE_IN_SOURCE
port-c4bd8b46758ca2002eba,Panaji,Panaji,Panaji,IN PAN,15.5,73.816667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0047,48960.0,UNIQUE_IN_SOURCE
port-caaa368314c15ca3dc54,Karwar,Karwar,Karwar,IN KRW,14.816667,74.116667,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0030,48990.0,UNIQUE_IN_SOURCE
port-cf886631046b9485fcf9,Mundra,Mundra,Mundra,IN MUN,22.72833333,69.70666667,India,Yes,Yes,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0006,48617.0,UNIQUE_IN_SOURCE
port-d092b54ab9322124321d,Porbandar,Porbandar,Porbandar,IN PBD,21.633333,69.6,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0012,48680.0,UNIQUE_IN_SOURCE
port-d4e0f4edd9cba2867c8c,Okha,Okha,Okha,IN OKH,22.46805556,69.07972222,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0007,48670.0,UNIQUE_IN_SOURCE
port-d5a9bed6cf51834a6032,Jaigarh Bay,Jaigarh Bay,Jaigarh Bay,INJGD,17.3,73.21666667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0020,48895.0,UNIQUE_IN_SOURCE
port-d6ac74b82e6cc679b0ef,Jaigad Port,Jaigad Port,Jaigad Port,,,,India,,,india_daily_port_activity_2019_2024.csv,MANUAL_REVIEW,unresolved_port_alias,port511,,MISSING
port-d8b7a2d1702c49b877b0,Kakinada Bay,Kakinada Bay,Kakinada Bay,IN KAK,17.0,82.316667,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0024,49470.0,UNIQUE_IN_SOURCE
port-dae39d3ff7f4909b3631,Machilipatnam,Machilipatnam,Machilipatnam,,16.15,81.166667,India,Unknown,Unknown,india_world_port_index.csv,MANUAL_REVIEW,duplicate_source_identifier_preserved,wpi_row_0002,49460.0,MISSING
port-e223d4da714bf54f8a68,Dhamra,Dhamra,Dhamra;Dhamra Port,INDMQ,20.81666667,86.96666667,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0022,49540.0,UNIQUE_IN_SOURCE
port-eb16595338545cf9cccb,Jafarabad,Jafarabad,Jafarabad,INJBD,20.86666667,71.38333333,India,Unknown,Unknown,india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0021,48720.0,UNIQUE_IN_SOURCE
port-f7a9c9c9e2024b0f8338,Navlakhi,Navlakhi,Navlakhi,IN NAV,22.95638889,70.44758333,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0013,48635.0,UNIQUE_IN_SOURCE
port-faee4b72dfaea88f350c,New Mangalore,New Mangalore,New Mangalore,IN NML,12.916667,74.816667,India,Unknown,Unknown,india_daily_port_activity_2019_2024.csv;india_world_port_index.csv,MAPPED,source_identity_preserved,wpi_row_0014,49030.0,UNIQUE_IN_SOURCE
port-fba259f9afed278d0baa,Machilipatnam,Machilipatnam,Machilipatnam,,16.15,81.15,India,Unknown,Unknown,india_world_port_index.csv,MANUAL_REVIEW,duplicate_source_identifier_preserved,wpi_row_0051,49460.0,MISSING
