global_oil_snapshot_id,country_id,canonical_country_name,source_country_name,source_rank,rank,source_proven_reserves_barrels,proven_reserves_barrels,source_production_barrels_per_day,production_barrels_per_day,source_consumption_barrels_per_day,consumption_barrels_per_day,source_exports_barrels_per_day,exports_barrels_per_day,source_imports_barrels_per_day,imports_barrels_per_day,as_of_date,source_dataset,source_row_number,missing_metric_count,validation_status
global-oil-694a289a81ec0e62e12e,country-136c67657614311f3223,Jordan,Jordan,96,96,1000000,1000000,165.0,165.0,107000.0,107000.0,0.0,0,68320.0,68320.0,,global_oil_country.csv,97,0,VALID
global-oil-1b273482eacc642dde8c,country-52118e19d4efe87556e2,Morocco,Morocco,97,97,680000,680000,5057.0,5057.0,203600.0,203600.0,0.0,0,122900.0,122900.0,,global_oil_country.csv,98,0,VALID
global-oil-690cb957b0ed9bfd9f73,country-4ac53897ac29ce8b0c27,Ethiopia,Ethiopia,98,98,430000,430000,100.0,100.0,49080.0,49080.0,0.0,0,0.0,0,,global_oil_country.csv,99,0,VALID
global-oil-611e527a38623b181c0d,country-562017f663ea6e762a60,Moldova,Moldova,99,99,7330,7330,221.0,221.0,15320.0,15320.0,0.0,0,0.0,0,,global_oil_country.csv,100,0,VALID
global-oil-e2dd607e7dbb9f7aaa26,country-2fcc9256ec1186625790,Aruba,Aruba,100,100,0,0,2811.0,2811.0,5661.0,5661.0,0.0,0,228800.0,228800.0,,global_oil_country.csv,101,0,VALID
global-oil-c17854035562bdc19a31,country-cf0acc38c3ef258d5b9c,Antigua and Barbuda,Antigua and Barbuda,101,101,0,0,0.0,0,5000.0,5000.0,0.0,0,0.0,0,,global_oil_country.csv,102,0,VALID
global-oil-d5ba66c1aec260cc7022,country-1d5a04fbeace6278ac78,Armenia,Armenia,102,102,0,0,0.0,0,45300.0,45300.0,0.0,0,0.0,0,,global_oil_country.csv,103,0,VALID
global-oil-123ae5df5dbb818238a5,country-e0c67046a3c83fbdf1a3,American Samoa,American Samoa,103,103,0,0,0.0,0,5115.0,5115.0,0.0,0,0.0,0,,global_oil_country.csv,104,0,VALID
global-oil-74cdab128fb58b63f85d,country-4cdb4fcebbed72a3f473,Botswana,Botswana,104,104,0,0,0.0,0,15420.0,15420.0,0.0,0,0.0,0,,global_oil_country.csv,105,0,VALID
global-oil-ef7f440f68fafd213d00,country-2fb2f533e014433cb7a2,Bermuda,Bermuda,105,105,0,0,0.0,0,2747.0,2747.0,0.0,0,0.0,0,,global_oil_country.csv,106,0,VALID
global-oil-6d128a98af0ffe4f4b29,country-90d693d30a3fa06791eb,Belgium,Belgium,106,106,0,0,10530.0,10530.0,644400.0,644400.0,0.0,0,667700.0,667700.0,,global_oil_country.csv,107,0,VALID
global-oil-ec5109f6a61a022f4270,country-f1ebd231a348712a3576,Bahamas,Bahamas,107,107,0,0,0.0,0,36300.0,36300.0,0.0,0,0.0,0,,global_oil_country.csv,108,0,VALID
global-oil-9ba16253322230f35a27,country-3af1b873990dc3a90811,Bosnia and Herzegovina,Bosnia and Herzegovina,108,108,0,0,0.0,0,27540.0,27540.0,0.0,0,22140.0,22140.0,,global_oil_country.csv,109,0,VALID
global-oil-84c921f1a95615b97379,country-322ae5a4a57d42d27c5c,Solomon Islands,Solomon Islands,109,109,0,0,0.0,0,1728.0,1728.0,0.0,0,0.0,0,,global_oil_country.csv,110,0,VALID
global-oil-f356365224961c01ff56,country-65a4745d1eaaa35c0ad9,Bhutan,Bhutan,110,110,0,0,0.0,0,1719.0,1719.0,0.0,0,0.0,0,,global_oil_country.csv,111,0,VALID
global-oil-86cd68d1f9aaee6688a6,country-ed13ad9a5761b2341649,Burundi,Burundi,111,111,0,0,0.0,0,2290.0,2290.0,0.0,0,0.0,0,,global_oil_country.csv,112,0,VALID
global-oil-8fc09b78507632b1f48c,country-eae33aebc5874253ff0b,Cambodia,Cambodia,112,112,0,0,1.0,1.0,39350.0,39350.0,0.0,0,0.0,0,,global_oil_country.csv,113,0,VALID
global-oil-4e9c19a2ab4b88c3bf81,country-3210180db79b0e85cbf7,Curaçao,Curaçao,113,113,0,0,,,72000.0,72000.0,,,,,,global_oil_country.csv,114,3,REVIEW
