product_id,product,source_product_name,financial_year,financial_year_start,calendar_year,month_number,month_name,consumption_metric_tonnes,consumption_unit,source_dataset,source_row_number,validation_status
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2025,1,JAN,76,metric_tonnes,india_petroleum_consumption.csv,83,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2025,2,FEB,62,metric_tonnes,india_petroleum_consumption.csv,84,VALID
product-1fe5626b86832387d536,LDO,LDO,2024-25,2024,2025,3,MAR,91,metric_tonnes,india_petroleum_consumption.csv,85,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,4,APR,375,metric_tonnes,india_petroleum_consumption.csv,86,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,5,MAY,471,metric_tonnes,india_petroleum_consumption.csv,87,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,6,JUN,436,metric_tonnes,india_petroleum_consumption.csv,88,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,7,JUL,318,metric_tonnes,india_petroleum_consumption.csv,89,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,8,AUG,341,metric_tonnes,india_petroleum_consumption.csv,90,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,9,SEP,382,metric_tonnes,india_petroleum_consumption.csv,91,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,10,OCT,346,metric_tonnes,india_petroleum_consumption.csv,92,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,11,NOV,351,metric_tonnes,india_petroleum_consumption.csv,93,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2024,12,DEC,362,metric_tonnes,india_petroleum_consumption.csv,94,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2025,1,JAN,395,metric_tonnes,india_petroleum_consumption.csv,95,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2025,2,FEB,354,metric_tonnes,india_petroleum_consumption.csv,96,VALID
product-95702a7f9ab5e32d6bf4,Lubricants & Greases,Lubricants & Greases,2024-25,2024,2025,3,MAR,458,metric_tonnes,india_petroleum_consumption.csv,97,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,4,APR,527,metric_tonnes,india_petroleum_consumption.csv,98,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,5,MAY,617,metric_tonnes,india_petroleum_consumption.csv,99,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,6,JUN,575,metric_tonnes,india_petroleum_consumption.csv,100,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,7,JUL,506,metric_tonnes,india_petroleum_consumption.csv,101,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,8,AUG,491,metric_tonnes,india_petroleum_consumption.csv,102,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,9,SEP,556,metric_tonnes,india_petroleum_consumption.csv,103,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,10,OCT,623,metric_tonnes,india_petroleum_consumption.csv,104,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,11,NOV,500,metric_tonnes,india_petroleum_consumption.csv,105,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2024,12,DEC,555,metric_tonnes,india_petroleum_consumption.csv,106,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2025,1,JAN,549,metric_tonnes,india_petroleum_consumption.csv,107,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2025,2,FEB,476,metric_tonnes,india_petroleum_consumption.csv,108,VALID
product-795922ede07e28180caa,FO & LSHS,FO & LSHS,2024-25,2024,2025,3,MAR,483,metric_tonnes,india_petroleum_consumption.csv,109,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,4,APR,835,metric_tonnes,india_petroleum_consumption.csv,110,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,5,MAY,940,metric_tonnes,india_petroleum_consumption.csv,111,VALID
product-790810d5c5602dbecaf2,Bitumen,Bitumen,2024-25,2024,2024,6,JUN,744,metric_tonnes,india_petroleum_consumption.csv,112,VALID
