country_id,canonical_name,source_name,source_normalized_name,source_dataset,country_code,mapping_status,mapping_method,review_reason
country-fd8711d30c801fa6969f,Taiwan,Taiwan,Taiwan,global_oil_country.csv,,MAPPED,source_name_exact,
country-f5885b5927323e158a49,Barbados,Barbados,Barbados,global_oil_country.csv,,MAPPED,source_name_exact,
country-136c67657614311f3223,Jordan,Jordan,Jordan,global_oil_country.csv,,MAPPED,source_name_exact,
country-52118e19d4efe87556e2,Morocco,Morocco,Morocco,global_oil_country.csv,,MAPPED,source_name_exact,
country-4ac53897ac29ce8b0c27,Ethiopia,Ethiopia,Ethiopia,global_oil_country.csv,,MAPPED,source_name_exact,
country-562017f663ea6e762a60,Moldova,Moldova,Moldova,global_oil_country.csv,,MAPPED,source_name_exact,
country-2fcc9256ec1186625790,Aruba,Aruba,Aruba,global_oil_country.csv,,MAPPED,source_name_exact,
country-cf0acc38c3ef258d5b9c,Antigua and Barbuda,Antigua and Barbuda,Antigua and Barbuda,global_oil_country.csv,,MAPPED,source_name_exact,
country-1d5a04fbeace6278ac78,Armenia,Armenia,Armenia,global_oil_country.csv,,MAPPED,source_name_exact,
country-e0c67046a3c83fbdf1a3,American Samoa,American Samoa,American Samoa,global_oil_country.csv,,MAPPED,source_name_exact,
country-4cdb4fcebbed72a3f473,Botswana,Botswana,Botswana,global_oil_country.csv,,MAPPED,source_name_exact,
country-2fb2f533e014433cb7a2,Bermuda,Bermuda,Bermuda,global_oil_country.csv,,MAPPED,source_name_exact,
country-90d693d30a3fa06791eb,Belgium,Belgium,Belgium,global_oil_country.csv,,MAPPED,source_name_exact,
country-f1ebd231a348712a3576,Bahamas,Bahamas,Bahamas,global_oil_country.csv,,MAPPED,source_name_exact,
country-3af1b873990dc3a90811,Bosnia and Herzegovina,Bosnia and Herzegovina,Bosnia and Herzegovina,global_oil_country.csv,,MAPPED,source_name_exact,
country-322ae5a4a57d42d27c5c,Solomon Islands,Solomon Islands,Solomon Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-65a4745d1eaaa35c0ad9,Bhutan,Bhutan,Bhutan,global_oil_country.csv,,MAPPED,source_name_exact,
country-ed13ad9a5761b2341649,Burundi,Burundi,Burundi,global_oil_country.csv,,MAPPED,source_name_exact,
country-eae33aebc5874253ff0b,Cambodia,Cambodia,Cambodia,global_oil_country.csv,,MAPPED,source_name_exact,
country-3210180db79b0e85cbf7,Curaçao,Curaçao,Curaçao,global_oil_country.csv,,MAPPED,source_name_exact,
country-95cdad8bfb9652ac584a,Sri Lanka,Sri Lanka,Sri Lanka,global_oil_country.csv,,MAPPED,source_name_exact,
country-fd26a087ca744eed8cc4,Cayman Islands,Cayman Islands,Cayman Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-cf8bdfdd7f896c1ec7ea,Comoros,Comoros,Comoros,global_oil_country.csv,,MAPPED,source_name_exact,
country-ee54b1b1e9bc25ac1a66,Costa Rica,Costa Rica,Costa Rica,global_oil_country.csv,,MAPPED,source_name_exact,
country-8b7874e4df7887941aaf,Central African Republic,Central African Republic,Central African Republic,global_oil_country.csv,,MAPPED,source_name_exact,
country-1dee6c1f0f6e420013cd,Cabo Verde,Cabo Verde,Cabo Verde,global_oil_country.csv,,MAPPED,source_name_exact,
country-5ad67bb94d1520c313fa,Cook Islands,Cook Islands,Cook Islands,global_oil_country.csv,,MAPPED,source_name_exact,
country-8930d399db295e02aa59,Cyprus,Cyprus,Cyprus,global_oil_country.csv,,MAPPED,source_name_exact,
country-e993659a9393585ad798,Djibouti,Djibouti,Djibouti,global_oil_country.csv,,MAPPED,source_name_exact,
country-58289961b08e34bb4e29,Dominica,Dominica,Dominica,global_oil_country.csv,,MAPPED,source_name_exact,
country-53f2dd02643a17159de2,Dominican Republic,Dominican Republic,Dominican Republic,global_oil_country.csv,,MAPPED,source_name_exact,
country-32f987ecd36719a12041,Ireland,Ireland,Ireland,global_oil_country.csv,,MAPPED,source_name_exact,
country-7275a5863bab4fdcfe20,Estonia,Estonia,Estonia,global_oil_country.csv,,MAPPED,source_name_exact,
country-eea67e4f9ca324e3abac,Eritrea,Eritrea,Eritrea,global_oil_country.csv,,MAPPED,source_name_exact,
