country_id,canonical_name,source_dataset,mapping_status
country-3fc81a2348ee6614856d,Qatar,global_oil_country.csv,CANONICAL
country-7f48a600768b114b5c99,Republic of the Congo,global_oil_country.csv,CANONICAL
country-856f08f94e3316872671,Romania,global_oil_country.csv,CANONICAL
country-90a6d53df47e4097ad65,Russia,global_oil_country.csv,CANONICAL
country-b57e6c30643eaf6a3d52,Rwanda,global_oil_country.csv,CANONICAL
country-29d5d38588cd4003df1f,Saint Helena,global_oil_country.csv,CANONICAL
country-1721830ff712793d56c9,Saint Kitts and Nevis,global_oil_country.csv,CANONICAL
country-000f1e1ca955d5188365,Saint Lucia,global_oil_country.csv,CANONICAL
country-a497936d41767ee349fd,Saint Pierre and Miquelon,global_oil_country.csv,CANONICAL
country-6a5e6bb18132ec7449bb,Saint Vincent and the Grenadines,global_oil_country.csv,CANONICAL
country-0c474a68bcff4e665d34,Samoa,global_oil_country.csv,CANONICAL
country-db0a8f84841d9e8286c9,Sao Tome and Principe,global_oil_country.csv,CANONICAL
country-6c1925d6560c7c47d21c,Saudi Arabia,global_oil_country.csv,CANONICAL
country-4a724471c49ba697b3e2,Senegal,global_oil_country.csv,CANONICAL
country-467dda4df29b3ad6df89,Serbia,global_oil_country.csv,CANONICAL
country-f57147693006c95066d9,Seychelles,global_oil_country.csv,CANONICAL
country-70dfea54663e8e2c9969,Sierra Leone,global_oil_country.csv,CANONICAL
country-51e2a46721d104d9148d,Singapore,global_oil_country.csv,CANONICAL
country-85e8b4499e5677a1b69f,Slovakia,global_oil_country.csv,CANONICAL
country-70ef838ec62b2fb85a92,Slovenia,global_oil_country.csv,CANONICAL
country-322ae5a4a57d42d27c5c,Solomon Islands,global_oil_country.csv,CANONICAL
country-7d28ff3bd433e26594da,Somalia,global_oil_country.csv,CANONICAL
country-7a80542464c08d209975,South Africa,global_oil_country.csv,CANONICAL
country-d83d0388b282d66a754e,South Korea,global_oil_country.csv,CANONICAL
country-ddea6abd2ee5d012fb6a,South Sudan,global_oil_country.csv,CANONICAL
country-4c799454ccf37279d378,Spain,global_oil_country.csv,CANONICAL
country-95cdad8bfb9652ac584a,Sri Lanka,global_oil_country.csv,CANONICAL
country-eb2230485d2da72ff135,Sudan,global_oil_country.csv,CANONICAL
country-0f0857451904a83978a9,Suriname,global_oil_country.csv,CANONICAL
country-f0871dafaa9aad08b214,Swaziland,global_oil_country.csv,CANONICAL
country-295099c764e6439694e9,Sweden,global_oil_country.csv,CANONICAL
country-c32f5de8269a9aced9a2,Switzerland,global_oil_country.csv,CANONICAL
country-38e64378dcc97326eee8,Syria,global_oil_country.csv,CANONICAL
country-fd8711d30c801fa6969f,Taiwan,global_oil_country.csv,CANONICAL
country-3c9e5562b466ad00681f,Tajikistan,global_oil_country.csv,CANONICAL
country-74947702044149ef9377,Tanzania,global_oil_country.csv,CANONICAL
country-d299927fdea2d5a7e994,Thailand,global_oil_country.csv,CANONICAL
country-4246e6406ccf630cdfa2,Timor-Leste,global_oil_country.csv,CANONICAL
country-7d6b68079d4614fd7e3e,Togo,global_oil_country.csv,CANONICAL
country-c3fcefdff6a2ec9e51ba,Tokelau,global_oil_country.csv,CANONICAL
country-32ad1aca2ef116a4cd17,Tonga,global_oil_country.csv,CANONICAL
country-1607b15340c3a58e5a71,Trinidad and Tobago,global_oil_country.csv,CANONICAL
country-8e9f3fe372b3e2360007,Tunisia,global_oil_country.csv,CANONICAL
country-8d7d5397f8842b4181d3,Turkey,global_oil_country.csv,CANONICAL
country-700530bf6ed31b40c7bd,Turkmenistan,global_oil_country.csv,CANONICAL
country-1bf0283a8976095de648,Turks and Caicos Islands,global_oil_country.csv,CANONICAL
country-b51ebaf9c293a8b7c7df,U.S. Virgin Islands,global_oil_country.csv,CANONICAL
country-431debec82077bf2d678,Uganda,global_oil_country.csv,CANONICAL
country-5c86f5a8ea4a73682e57,Ukraine,global_oil_country.csv,CANONICAL
