world_port_index_number,port_name,alternate_port_name,un_locode,country,water_body,latitude,longitude,harbor_size,harbor_type,harbor_use,max_vessel_length_m,max_vessel_beam_m,max_vessel_draft_m,liquid_bulk_facility,oil_terminal_facility,wharf_facility,anchorage_facility
49454.5,Kattupalli Port, ,INKRI,India,Bay of Bengal; Indian Ocean,13.30694444,80.35222222,Large, ,Cargo,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown
49330.0,Pamban, , ,India,Palk Strait; Indian Ocean,9.283333333,79.21666667,Very Small,Open Roadstead,Cargo,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown
49550.0,Baleshwar, , ,India,Bay of Bengal; Indian Ocean,21.48333333,86.95,Very Small,River (Natural),Cargo,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown
49460.0,Machilipatnam,Masulipatam, ,India,Bay of Bengal; Indian Ocean,16.15,81.15,Very Small,Open Roadstead,Cargo,0.0,0.0,0.0,Unknown,Unknown,Unknown,Unknown
49160.0,Quilon (Kollam), ,IN QUI,India,Laccadive Sea; Indian Ocean,8.871944444,76.58388889,Very Small,Coastal (Breakwater),Unknown,116.0,0.0,7.0,Unknown,Unknown,Yes,No
49040.0,Azhikal (Azhikkal),Beliapatam; Valarpattam,IN AZK,India,Laccadive Sea; Indian Ocean,11.94555556,75.30944444,Very Small,River (Natural),Cargo,30.0,10.0,3.0,Unknown,Unknown,Yes,No
49170.0,Trivandrum, ,IN TRV,India,Laccadive Sea; Indian Ocean,8.483333,76.95,Very Small,Open Roadstead,Unknown,0.0,0.0,0.0,Unknown,Unknown,Yes,Yes
49180.0,Kolachel, , ,India,Laccadive Sea; Indian Ocean,8.166667,77.25,Very Small,Open Roadstead,Cargo,0.0,0.0,0.0,Unknown,Unknown,No,Yes
49100.0,Calicut (Kozhikode), ,IN CCJ,India,Laccadive Sea; Indian Ocean,11.25,75.766667,Very Small,Open Roadstead,Cargo,0.0,0.0,0.0,Unknown,Unknown,Yes,Yes
49720.0,Port Blair, ,IN IXZ,India,Andaman Sea; Indian Ocean,11.67777778,92.73333333,Small,Coastal (Natural),Cargo,183.4,32.2,9.0,Unknown,Unknown,Yes,Yes
