date,year,month,day,portid,portname,country,ISO3,portcalls_container,portcalls_dry_bulk,portcalls_general_cargo,portcalls_roro,portcalls_tanker,portcalls_cargo,portcalls,import_container,import_dry_bulk,import_general_cargo,import_roro,import_tanker,import_cargo,import,export_container,export_dry_bulk,export_general_cargo,export_roro,export_tanker,export_cargo,export,ObjectId
2024/08/29 00:00:00+00,2024,8,29,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49989.9665053094,0.0,0.0,0.0,49989.9665053094,49989.9665053094,1888585
2024/07/13 00:00:00+00,2024,7,13,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,695.701810905171,0.0,0.0,0.0,695.701810905171,695.701810905171,1888586
2024/02/08 00:00:00+00,2024,2,8,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40196.3750979555,0.0,0.0,0.0,40196.3750979555,40196.3750979555,1888587
2024/10/15 00:00:00+00,2024,10,15,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,48467.2041253366,0.0,0.0,0.0,48467.2041253366,48467.2041253366,0.0,28073.8093087376,0.0,0.0,0.0,28073.8093087376,28073.8093087376,1888588
2023/12/19 00:00:00+00,2023,12,19,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,41421.2188102528,0.0,0.0,0.0,41421.2188102528,41421.2188102528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888589
2023/10/29 00:00:00+00,2023,10,29,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29910.2760256828,0.0,0.0,0.0,29910.2760256828,29910.2760256828,1888590
2024/08/30 00:00:00+00,2024,8,30,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888591
2024/07/14 00:00:00+00,2024,7,14,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,124044.493508096,0.0,0.0,0.0,124044.493508096,124044.493508096,0.0,49194.9517433863,0.0,0.0,0.0,49194.9517433863,49194.9517433863,1888592
2024/02/09 00:00:00+00,2024,2,9,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888593
2024/10/16 00:00:00+00,2024,10,16,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888594
2023/12/20 00:00:00+00,2023,12,20,port290,Dhamra Port,India,IND,0,4,0,0,0,4,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,86928.6608720413,0.0,0.0,0.0,86928.6608720413,86928.6608720413,1888595
2023/10/30 00:00:00+00,2023,10,30,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888596
2024/08/31 00:00:00+00,2024,8,31,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888597
2024/07/15 00:00:00+00,2024,7,15,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888598
2024/02/10 00:00:00+00,2024,2,10,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21987.2776763557,0.0,0.0,0.0,21987.2776763557,21987.2776763557,1888599
2024/10/17 00:00:00+00,2024,10,17,port290,Dhamra Port,India,IND,0,3,0,0,0,3,3,0.0,70753.4885619598,0.0,0.0,0.0,70753.4885619598,70753.4885619598,0.0,63655.5162998327,0.0,0.0,0.0,63655.5162998327,63655.5162998327,1888600
2023/12/21 00:00:00+00,2023,12,21,port290,Dhamra Port,India,IND,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1888601
2023/10/31 00:00:00+00,2023,10,31,port290,Dhamra Port,India,IND,0,1,0,0,0,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15692.5062242215,0.0,0.0,0.0,15692.5062242215,15692.5062242215,1888602
2024/09/01 00:00:00+00,2024,9,1,port290,Dhamra Port,India,IND,0,2,0,0,0,2,2,0.0,48467.2041253366,0.0,0.0,0.0,48467.2041253366,48467.2041253366,0.0,32385.7680742875,0.0,0.0,0.0,32385.7680742875,32385.7680742875,1888603
