financial_year,pc_code,pc_description,country_code,country_source_name,country_normalized,quantity_tonnes,quantity_unit,trade_value_source_units
2016-2017,S5,Petroleum: Crude,11335,Qatar,Qatar,4666484.0,Ton,1654.044521
2016-2017,S5,Petroleum: Crude,6043,Brazil,Brazil,4255680.0,Ton,1334.643863
2016-2017,S5,Petroleum: Crude,4111,Egypt A Rp,Egypt,2879583.0,Ton,739.5187
2016-2017,S5,Petroleum: Crude,10047,Brunei,Brunei,1606185.0,Ton,627.598782
2016-2017,S5,Petroleum: Crude,3117,Equtl Guinea,Equatorial Guinea,1339952.0,Ton,452.058373
2016-2017,S5,Petroleum: Crude,4005,Algeria,Algeria,1252960.0,Ton,494.410201
2016-2017,S5,Petroleum: Crude,15021,Azerbaijan,Azerbaijan,1050086.0,Ton,455.820841
2016-2017,S5,Petroleum: Crude,16409,Turkey,Turkey,984466.0,Ton,377.993728
2016-2017,S5,Petroleum: Crude,2057,Cameroon,Cameroon,982901.0,Ton,313.931383
2016-2017,S5,Petroleum: Crude,6109,Ecuador,Ecuador,704439.0,Ton,219.160816
2016-2017,S5,Petroleum: Crude,599,Unspecified,Unspecified,693322.0,Ton,217.904221
2016-2017,S5,Petroleum: Crude,15212,Kazakhstan,Kazakhstan,623678.0,Ton,255.253854
2016-2017,S5,Petroleum: Crude,10187,Indonesia,Indonesia,544764.0,Ton,180.826532
2016-2017,S5,Petroleum: Crude,15344,Russia,Russia,512778.0,Ton,300.800179
2016-2017,S5,Petroleum: Crude,11301,Oman,Oman,485314.0,Ton,155.328922
2016-2017,S5,Petroleum: Crude,2069,Chad,Chad,428499.0,Ton,136.794786
2016-2017,S5,Petroleum: Crude,9277,Netherlandantil,Netherlandantil,286347.0,Ton,56.358095
2016-2017,S5,Petroleum: Crude,13275,Netherland,Netherlands,286253.0,Ton,61.972626
2016-2017,S5,Petroleum: Crude,10217,Korea Rp,South Korea,268670.0,Ton,100.694869
2016-2017,S5,Petroleum: Crude,6083,Colombia,Colombia,264028.0,Ton,110.61793
2016-2017,S5,Petroleum: Crude,15216,Kyrghyzstan,Kyrghyzstan,194889.0,Ton,82.018022
2016-2017,S5,Petroleum: Crude,4381,Sudan,Sudan,178146.0,Ton,67.42002
2016-2017,S5,Petroleum: Crude,3167,Guinea,Guinea,144413.0,Ton,47.488409
2016-2017,S5,Petroleum: Crude,2141,Gabon,Gabon,92980.0,Ton,30.065687
2016-2017,S5,Petroleum: Crude,10017,Australia,Australia,81935.0,Ton,23.625478
2016-2017,S5,Petroleum: Crude,2199,Cote D' Ivoire,Cote D' Ivoire,80788.0,Ton,25.424082
2016-2017,S5,Petroleum: Crude,2087,Congo P Rep,Republic of the Congo,75704.0,Ton,21.840901
2016-2017,S5,Petroleum: Crude,13155,Greece,Greece,28938.0,Ton,9.151248
2016-2017,S5,Petroleum: Crude,13147,Germany,Germany,9.0,Ton,0.047896
2016-2017,S5,Petroleum: Crude,10359,Singapore,Singapore,3.0,Ton,0.002429
2016-2017,S5,Petroleum: Crude,12195,Israel,Israel,1.0,Ton,0.00488
